date,ticker,market_cap,book_to_price,roe,d2a
2025-06-27,Date,,,,
2025-06-27,AAPL,3003290746880.0,1.4887003546508926e-12,1.38015,
2025-06-27,AMZN,2370642116608.0,1.2157043780710642e-11,0.2524,
2025-06-27,GOOGL,2171406909440.0,1.3081380498750266e-11,0.34789002,
2025-06-27,JNJ,366709145600.0,8.85415604971484e-11,0.29447,
2025-06-27,META,1844588052480.0,3.975792855288222e-11,0.39835,
2025-06-27,MSFT,3686094077952.0,1.1746851568166581e-11,0.3361,
2025-06-27,NVDA,3847144079360.0,8.936499203252965e-13,1.15463,
2025-06-27,TSLA,1042399297536.0,2.2240997336435105e-11,0.087740004,
2025-06-27,UNH,280406032384.0,3.724491913104762e-10,0.22700001,
