asOfDate,aapl,amzn,googl,jnj,meta,msft,nvda,tsla,unh
2021-06-30,,,,,,-0.0458066878891174,,,
2021-09-30,-0.6632112854652084,,,,,,,,
2021-12-31,,-0.600607616912004,0.1893138871778568,-0.17390540777866342,0.20417364008360095,,,-0.11093444632150784,-0.4001950947603122
2022-01-31,,,,,,,-0.07812265143544267,,
2022-06-30,,,,,,0.06885950691116954,,,
2022-09-30,-0.6448729081149354,,,,,,,,
2022-12-31,,-0.9780681032298706,0.11826550690236741,-0.28255038800062504,-0.026974139508244982,,,0.1528945955619184,-0.4822172504243173
2023-01-31,,,,,,,-0.34672639247092885,,
2023-06-30,,,,,,0.06010968708630948,,,
2023-09-30,-0.2267724390950343,,,,,,,,
2023-12-31,,-0.52104520123839,0.16470521810014152,0.08463954401372614,0.012169643789825546,,,0.0866302647124565,-0.4524313849204561
2024-01-31,,,,,,,0.4351994043464098,,
2024-06-30,,,,,,0.07825251325066951,,,
2024-09-30,-0.22639157155399459,,,,,,,,
2024-12-31,,-0.25055775081302234,0.22965448930122678,-0.3156805147573087,0.07282204591621633,,,-0.08905133515285342,-0.6745127242116169
2025-01-31,,,,,,,0.7892646891978771,,
